municipality,parent_name,point_index,group_id,group_title,score
Алексеевский,Северо-Восточный,12,recreation_environment,Рекреация и экологическая комфортность,63.630000
Алексеевский,Северо-Восточный,12,safety_economic_stability,Безопасность и экономическая стабильность района,79.850000
Алексеевский,Северо-Восточный,13,transport_accessibility,Транспортная доступность,82.780000
Алексеевский,Северо-Восточный,13,social_infrastructure,Социальная инфраструктура,82.480000
Алексеевский,Северо-Восточный,13,commercial_household,Коммерческая и бытовая инфраструктура,99.520000
Алексеевский,Северо-Восточный,13,recreation_environment,Рекреация и экологическая комфортность,78.310000
Алексеевский,Северо-Восточный,13,safety_economic_stability,Безопасность и экономическая стабильность района,77.510000
Алексеевский,Северо-Восточный,14,transport_accessibility,Транспортная доступность,76.710000
Алексеевский,Северо-Восточный,14,social_infrastructure,Социальная инфраструктура,79.280000
Алексеевский,Северо-Восточный,14,commercial_household,Коммерческая и бытовая инфраструктура,92.330000
Алексеевский,Северо-Восточный,14,recreation_environment,Рекреация и экологическая комфортность,81.460000
Алексеевский,Северо-Восточный,14,safety_economic_stability,Безопасность и экономическая стабильность района,73.100000
Алексеевский,Северо-Восточный,15,transport_accessibility,Транспортная доступность,100.000000
Алексеевский,Северо-Восточный,15,social_infrastructure,Социальная инфраструктура,81.450000
Алексеевский,Северо-Восточный,15,commercial_household,Коммерческая и бытовая инфраструктура,99.730000
Алексеевский,Северо-Восточный,15,recreation_environment,Рекреация и экологическая комфортность,70.100000
Алексеевский,Северо-Восточный,15,safety_economic_stability,Безопасность и экономическая стабильность района,79.540000
Алексеевский,Северо-Восточный,16,transport_accessibility,Транспортная доступность,94.980000
Алексеевский,Северо-Восточный,16,social_infrastructure,Социальная инфраструктура,81.590000
Алексеевский,Северо-Восточный,16,commercial_household,Коммерческая и бытовая инфраструктура,94.070000
Алексеевский,Северо-Восточный,16,recreation_environment,Рекреация и экологическая комфортность,65.830000
Алексеевский,Северо-Восточный,16,safety_economic_stability,Безопасность и экономическая стабильность района,76.190000
Алексеевский,Северо-Восточный,17,transport_accessibility,Транспортная доступность,70.640000
